cf, Q, 0.002
chh, p, 0, 0
chh, p, 50, 50
chh, p, 50, 50
chh, p, 0, 0
chh, p, 0, 0
chh, p, 100, 100
chh, p, 100, 100
chh, p, 0, 0
chh, p, 0, 0
chh, p, 200, 200
chh, p, 200, 200
chh, p, 0, 0
chh, p, 0, 0
chh, p, 350, 350
chh, p, 350, 350
chh, p, 0, 0
chh, p, 0, 0
chh, p, 500, 500
chh, p, 500, 500
chh, p, 0, 0
chh, p, 0, 0
chh, p, -50, -50
chh, p, -50, -50
chh, p, 0, 0
chh, p, 0, 0
chh, p, -100, -100
chh, p, -100, -100
chh, p, 0, 0
chh, p, 0, 0
chh, p, -200, -200
chh, p, -200, -200
chh, p, 0, 0
chh, p, 0, 0
chh, p, -350, -350
chh, p, -350, -350
chh, p, 0, 0
chh, p, 0, 0
chh, p, -500, -500
chh, p, -500, -500
chh, p, 0, 0
chh, p, 0, 0
chh, p, 150, -150
chh, p, 150, -150
chh, p, 0, 0
chh, p, 0, 0
chh, p, -150, 150
chh, p, -150, 150
chh, p, 0, 0
chh, p, 0, 0
chh, p, 300, 100
chh, p, 300, 100
chh, p, 0, 0
chh, p, 0, 0
chh, p, 100, 300
chh, p, 100, 300
chh, p, 0, 0
chh, p, 0, 0
chh, p, 0, 0
cf, Q, -1
